2025-06-12 20:10:45.580 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 1332 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 20:10:45.604 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 20:10:58.691 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 14.53 seconds (process running for 16.532)
2025-06-12 20:27:50.242 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 10764 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 20:27:50.242 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 20:28:05.497 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 17.023 seconds (process running for 18.8)
2025-06-12 20:35:30.307 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 9360 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 20:35:30.307 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 20:35:42.111 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 13.236 seconds (process running for 14.412)
2025-06-12 20:46:01.361 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 9484 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 20:46:01.364 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 20:46:19.079 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 20.449 seconds (process running for 22.519)
2025-06-12 20:53:39.830 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 18628 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 20:53:39.830 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 21:00:17.462 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 16980 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 21:00:17.462 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 21:00:30.175 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 14.166 seconds (process running for 15.273)
2025-06-12 21:49:43.838 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 19692 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 21:49:43.838 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 21:50:00.099 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 18.186 seconds (process running for 20.091)
2025-06-12 21:53:01.098 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 21.0.7 with PID 10960 (C:\Users\Анастасия\IdeaProjects\project-web-app\build\classes\java\main started by Анастасия in C:\Users\Анастасия\IdeaProjects\project-web-app)
2025-06-12 21:53:01.102 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-06-12 21:53:15.814 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 16.452 seconds (process running for 17.74)
